category,theme,text,summary,sentiment,severity,churn_risk,root_cause,recommendation
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа.",Ошибка входа в приложение,negative,3,medium,,Проверить аутентификацию на сервере
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Прошу срочно решить проблему.",Ошибка оплаты банковской картой,negative,4,medium,,Проверить систему оплаты на ошибки
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Ошибка оплаты банковской картой,negative,2,low,,Проверить систему оплаты на ошибки
Доставка,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Это уже не первый раз.,Задержка доставки,negative,3,medium,,Ускорить обработку заказов
Доставка,Курьер,"Курьер не приехал в назначенное время и не позвонил. Если вопрос не решится, больше у вас покупать не буду.",Курьер не пришёл в срок,negative,5,high,Курьер не пришёл в срок,Уведомлять курьёра о задержке доставки
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Поддержка тоже не помогла.",Проблема с действующим промокодом,negative,2,low,,Проверить валидность промокода в системе
Личный кабинет,История заказов,В личном кабинете пропала история моих заказов. Поддержка тоже не помогла.,Проблема отсутствия истории заказов,negative,2,medium,,Проверить базу данных заказов
Оплата,Двойное списание,С карты дважды списали деньги за один заказ. Прошу срочно решить проблему.,Двойное списание заказа,negative,5,high,,Возврат средств за двойное списание
Качество товара,Несоответствие,Товар совсем не соответствует описанию на сайте.,Несоответствие товара описанию,negative,3,medium,,Проверить описания товаров на соответствие реальному товару
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Если вопрос не решится, больше у вас покупать не буду.",Ошибка оплаты банковской картой,negative,5,high,,Проверить систему оплаты карты
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Это уже не первый раз.",Задержка доставки,negative,2,medium,,Проверить систему отслеживания доставки
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Поддержка тоже не помогла.",Сложность оформления возврата,negative,2,medium,Неясность процесса возврата,Упростить процесс оформления возврата
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Поддержка тоже не помогла.",Ошибка входа в приложение,negative,3,medium,,Проверить аутентификацию на сервере
Качество товара,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Это уже не первый раз.,Поврежденный товар,negative,4,high,,Улучшить проверку товаров перед доставкой
Качество товара,Брак,Получил товар с явным браком.,Брак товара,negative,4,high,,Проверить качество поставок
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Прошу срочно решить проблему.",Ошибка оплаты банковской картой,negative,4,high,,Проверить систему оплаты банковских карт
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Если вопрос не решится, больше у вас покупать не буду.",Задержка возврата средств,negative,5,high,непрерывная задержка возврата средств,Ускорить обработку возвратов
Доставка,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу срочно решить проблему.,Задержка доставки,negative,4,medium,,Ускорить обработку заказов
Бонусная программа,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Прошу срочно решить проблему.,Исчезли бонусные баллы,negative,4,medium,,Проверить систему учета баллов
Документы,Счет,Не могу получить счет на заказ.,Отсутствие счета на заказ,negative,2,low,,Ускорить генерацию счетов
Мобильное приложение,Ошибка приложения,Приложение зависает при оформлении заказа.,Зависание при оформлении заказа,negative,2,medium,,Оптимизировать процесс оформления заказа
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Если вопрос не решится, больше у вас покупать не буду.","Текст короткий и понятный, но нужно убрать лишнее. В тексте клиент говорит, что товар исчезает из корзины после добавления. Нужно создать название проблемы в 3-7 словах без слов 'клиент', 'пользователь', 'человек'. Примеры: 'Ошибка оплаты банковской картой' — 4 слова, 'Сложность оформления возврата' — 4 слова, 'Проблема поиска адреса доставки' — ... В данном случае проблема — товар исчезает из корзины после добавления. Можно назвать как 'Товар исчезает из корзины' — 5 слов. Но нужно проверить, не слишком ли длинно. Или 'Проблема добавления товара в корзину' — 5 слов. Но в примерах использованы краткие формулировки. В примере 'Ошибка оплаты банковской картой' — это проблема с оплатой, а здесь проблема с добавлением товара в корзину. Возможно, лучше 'Товар исчезает после добавления в корзину' — 6 слов. Но в тексте клиент говорит ",negative,5,high,,Проверить логику добавления товара в корзину
Доставка,Курьер,Курьер не приехал в назначенное время и не позвонил. Это уже не первый раз.,Отсутствие уведомления о доставке,negative,2,medium,Отсутствие уведомления о доставке,Улучшить систему уведомлений курьером
Доставка,Курьер,Курьер не приехал в назначенное время и не позвонил.,Отсутствие уведомления о доставке,negative,2,low,Отсутствие уведомления о доставке,Улучшить систему уведомлений курьера
Личный кабинет,Авторизация,Не могу войти в личный кабинет.,Проблема входа в личный кабинет,negative,2,low,,Проверить доступ к личному кабинету
Поддержка,Долгое ожидание,Очень долго ждал ответа оператора.,Долгое ожидание ответа,negative,2,low,,Оптимизировать обработку запросов
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Очень недоволен этой ситуацией.",Неверная цена в корзине,negative,3,medium,,Проверить синхронизацию цен в корзине
Доставка,Повреждение,Заказ приехал с поврежденной упаковкой.,Поврежденная упаковка при доставке,negative,2,low,,Проверить качество упаковки перед доставкой
Бонусная программа,Списание бонусов,"Не получается использовать накопленные бонусы при оплате. Если вопрос не решится, больше у вас покупать не буду.",Ошибка использования бонусов при оплате,negative,5,high,,Проверить интеграцию бонусной системы с платежной системой
Доставка,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока.,Задержка доставки,negative,3,medium,,Ускорить обработку заказов
Поддержка,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Это уже не первый раз.,Переключения между отделами,negative,3,medium,неправильная координация между отделами,Улучшить координацию между отделами
Поддержка,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Переключения между отделами,negative,3,medium,,Улучшить координацию между отделами
Бонусная программа,Не начислены бонусы,За покупку не начислили обещанные бонусы. Поддержка тоже не помогла.,Не начислены бонусы,negative,3,medium,,Проверить систему начисления бонусов
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Поддержка тоже не помогла.",Задержка возврата средств,negative,3,medium,непрерывная задержка возврата средств,Ускорить обработку возвратов
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Это уже не первый раз.",Проблема поиска адреса доставки,negative,2,medium,,Проверить точность данных в системе доставки
Доставка,Повреждение,Заказ приехал с поврежденной упаковкой. Прошу срочно решить проблему.,Поврежденная упаковка при доставке,negative,3,medium,Поврежденная уп:паковка при доставке,Проверить качество упаковки перед доставкой
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Поддержка тоже не помогла.",Неправильная цена в корзине,negative,2,low,,Проверить синхронизацию цен в корзине
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает.",Товар исчезает из корзины,negative,3,medium,,Проверить логику добавления в корзину
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Это уже не первый раз.",Непостоянство цены товара,negative,2,medium,,Проверить синхронизацию цен в корзине
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Ошибка оплаты банковской картой,negative,2,low,,Проверить интеграцию банковской карты
Мобильное приложение,Ошибка приложения,После обновления приложение перестало запускаться. Поддержка тоже не помогла.,Приложение не запускается после обновления,negative,3,medium,,Проверить стабильность обновления приложения
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Это уже не первый раз.",Задержка возврата средств,negative,3,medium,неправильная обработка возврата,Ускорить обработку возвратов
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Если вопрос не решится, больше у вас покупать не буду.",Ошибка оплаты банковской картой,negative,5,high,,Исправить ошибку оплаты банковской картой
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Если вопрос не решится, больше у вас покупать не буду.",Проблема активации промокода,negative,5,high,,Проверить корректность промокода в системе
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Очень недоволен этой ситуацией.",Ошибка оплаты банковской картой,negative,4,medium,,Проверить систему оплаты банковских карт
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Очень недоволен этой ситуацией.",Проблема поиска адреса доставки,negative,2,medium,,Проверить точность данных в системе доставки
Документы,Документы,В документах к заказу указаны неверные данные.,Неверные данные в документах заказа,negative,2,low,,Проверить данные в документах заказа
Личный кабинет,Авторизация,Не могу войти в личный кабинет. Это уже не первый раз.,Проблема входа в личный кабинет,negative,2,medium,,Проверить логи аутентификации
Личный кабинет,История заказов,В личном кабинете пропала история моих заказов.,Пропажа истории заказов,negative,3,medium,,Проверить базу данных заказов
Документы,Чек,Не получил электронный чек после покупки. Это уже не первый раз.,Отсутствие электронного чека,negative,2,low,,Установить автоматическое отправление чека
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал.",Задержка курьера,negative,2,low,,Уточнить статус доставки у курьера
Поддержка,Качество поддержки,"Оператор не смог решить мой вопрос и просто переключал меня между отделами. Если вопрос не решится, больше у вас покупать не буду.",Оператор не решает вопросы,negative,5,high,Оператор не решает вопросы,Улучшить процесс переключения между отделами
Качество товара,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Прошу срочно решить проблему.,Поврежденный товар,negative,5,high,,Исправить повреждение и отправить новый товар
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу срочно решить проблему.",Задержка возврата средств,negative,4,high,Неизвестно,Ускорить обработку возвратов
Бонусная программа,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Поддержка тоже не помогла.,Бонусные баллы исчезли,negative,3,medium,,Проверить систему учета баллов
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Прошу срочно решить проблему.",Сложность оформления возврата,negative,2,medium,не понимает как оформить возврат,Упростить процесс оформления возврата
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Очень недоволен этой ситуацией.",Сложность оформления возврата,negative,2,medium,не понимает как оформить возврат,Упростить процесс оформления возврата
Оплата,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Поддержка тоже не помогла.,Отсутствие возврата после отмены заказа,negative,4,medium,,Ускорить обработку возвратов после отмены заказа
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Это уже не первый раз.",Ошибка оплаты банковской картой,negative,3,medium,,Проверить систему оплаты на ошибки
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Прошу срочно решить проблему.",Задержка курьера,negative,3,medium,,Ускорить доставку курьера
Возвраты,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Прошу срочно решить проблему.,Отказ в возврате без объяснения,negative,4,medium,,Уточнить причины отказа возврата
Качество товара,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Очень недоволен этой ситуацией.,Поврежденный товар,negative,4,high,,Проверить логистику и упаковку
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Это уже не первый раз.",Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
Поддержка,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Поддержка тоже не помогла.,Переключения между отделами без решения,negative,3,medium,неправильная координация между отделами,Улучшить координацию между отделами
Цена,Скидка,"Обещанная скидка не применилась при оформлении заказа. Если вопрос не решится, больше у вас покупать не буду.",Скидка не применяется при оформлении,negative,5,high,,Проверить условия применения скидки
Качество товара,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно.,Поврежденный товар,negative,5,high,,Исправить доставку и проверку товара
Возвраты,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Очень недоволен этой ситуацией.,Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Очень недоволен этой ситуацией.",Задержка доставки,negative,2,low,,Уточнить статус заказа у курьера
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Очень недоволен этой ситуацией.",Проблема активации промокода,negative,3,medium,,Проверить валидность промокода в системе
Качество товара,Брак,"Получил товар с явным браком. Если вопрос не решится, больше у вас покупать не буду.",Брак товара,negative,5,high,Брак товара,Исправить брак и предложить компенсацию
Бонусная программа,Не начислены бонусы,За покупку не начислили обещанные бонусы.,Не начислены бонусы,negative,2,medium,,Проверить систему начисления бонусов
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат.",Сложность оформления возврата,negative,2,low,не понимает как оформить возврат,Упростить процесс оформления возврата
Качество товара,Несоответствие,Товар совсем не соответствует описанию на сайте. Очень недоволен этой ситуацией.,Несоответствие товара описанию,negative,4,medium,Несоответствие товара описанию,Проверить описания товаров на соответствие реальному товару
Мобильное приложение,Ошибка приложения,Приложение зависает при оформлении заказа. Поддержка тоже не помогла.,Зависание при оформлении заказа,negative,2,medium,,Оптимизировать процесс оформления заказа
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Поддержка тоже не помогла.",Ошибка оплаты банковской картой,negative,3,medium,,Проверить систему оплаты на ошибки
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Прошу срочно решить проблему.",Неправильная цена в корзине,negative,3,medium,,Проверить синхронизацию цен в корзине
Качество товара,Брак,Получил товар с явным браком. Прошу срочно решить проблему.,Брак товара,negative,5,high,,Исправить брак и вернуть деньги
Доставка,Курьер,Курьер не приехал в назначенное время и не позвонил. Очень недоволен этой ситуацией.,Отсутствие уведомления о доставке,negative,2,medium,Отсутствие уведомления о доставке,Улучшить систему уведомлений курьером
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Неправильная цена в корзине,negative,2,low,,Проверить синхронизацию цен в корзине
Поддержка,Долгое ожидание,Очень долго ждал ответа оператора. Это уже не первый раз.,Долгое ожидание ответа,negative,2,medium,,Увеличить количество операторов
Цена,Скидка,Обещанная скидка не применилась при оформлении заказа. Прошу срочно решить проблему.,Скидка не применилась при оформлении,negative,3,medium,неизвестно,Проверить условия применения скидки
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили.",Задержка возврата средств,negative,2,medium,,Ускорить обработку возвратов
Бонусная программа,Не начислены бонусы,"За покупку не начислили обещанные бонусы. Если вопрос не решится, больше у вас покупать не буду.",Не начислены бонусы,negative,5,high,,Проверить систему начисления бонусов
Поддержка,Долгое ожидание,"Очень долго ждал ответа оператора. Если вопрос не решится, больше у вас покупать не буду.",Долгое ожидание ответа,negative,5,high,непонимание времени ожидания,Ускорить обработку запросов
Оплата,Возврат денег,"Деньги после отмены заказа до сих пор не вернулись. Если вопрос не решится, больше у вас покупать не буду.",Ожидание возврата после отмены заказа,negative,5,high,Не вернулись деньги после отмены заказа,Ускорить обработку возвратов после отмены заказа
Качество товара,Несоответствие,"Товар совсем не соответствует описанию на сайте. Если вопрос не решится, больше у вас покупать не буду.",Несоответствие товара описанию,negative,5,high,,Проверить товары на соответствие описанию
Доставка,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Если вопрос не решится, больше у вас покупать не буду.",Задержка доставки,negative,5,high,,Ускорить доставку
Бонусная программа,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы.,Бонусные баллы исчезли,negative,3,medium,,Проверить систему учета баллов
Личный кабинет,Авторизация,Не могу войти в личный кабинет. Поддержка тоже не помогла.,Проблема входа в личный кабинет,negative,2,medium,,Проверить доступ к личному кабинету
Бонусная программа,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Поддержка тоже не помогла.,Ошибка использования бонусов при оплате,negative,2,medium,,Проверить интеграцию бонусной системы с платежной системой
Доставка,Курьер,Курьер не приехал в назначенное время и не позвонил. Прошу срочно решить проблему.,Отсутствие уведомления о доставке,negative,4,medium,Отсутствие уведомления о доставке,Уведомлять курьера о задержке доставки
Возвраты,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Если вопрос не решится, больше у вас покупать не буду.",Отказ в возврате без объяснения,negative,5,high,,Уточнить причины отказа в возврате
Оплата,Двойное списание,С карты дважды списали деньги за один заказ.,Двойное списание заказа,negative,5,high,,Проверить систему списаний
Качество товара,Несоответствие,Товар совсем не соответствует описанию на сайте. Прошу срочно решить проблему.,Несоответствие товара описанию,negative,4,high,,Исправить несоответствие товара описанию
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Если вопрос не решится, больше у вас покупать не буду.",Отсутствие ответа в поддержке,negative,5,high,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
Личный кабинет,Профиль,Не получается изменить номер телефона в профиле.,Ошибка изменения номера телефона,negative,2,low,,Проверить доступ к профилю
Личный кабинет,Авторизация,"Не могу войти в личный кабинет. Если вопрос не решится, больше у вас покупать не буду.",Ошибка входа в личный кабинет,negative,5,high,,Проверить доступ к личному кабинету
Документы,Счет,Не могу получить счет на заказ. Очень недоволен этой ситуацией.,Ошибка получения счета,negative,3,medium,,Проверить систему генерации счетов
Качество товара,Брак,Получил товар с явным браком. Это уже не первый раз.,Брак в товаре,negative,4,high,Брак в товаре,Ускорить обработку возвратов
Личный кабинет,Профиль,Не получается изменить номер телефона в профиле. Это уже не первый раз.,Ошибка изменения номера телефона,negative,2,medium,,Проверить доступ к профилю
Доставка,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Очень недоволен этой ситуацией.,Задержка доставки,negative,4,high,,Ускорить обработку заказов
Поддержка,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Прошу срочно решить проблему.,Проблема с переключением между отделами,negative,4,high,Оператор не смог решить вопрос,Улучшить процесс переключения между отделами
Оплата,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Отсутствие возврата после отмены заказа,negative,3,medium,,Ускорить обработку возвратов после отмены заказа
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Если вопрос не решится, больше у вас покупать не буду.",Ошибка авторизации,negative,5,high,,Проверить работу авторизации
Мобильное приложение,Ошибка приложения,После обновления приложение перестало запускаться. Это уже не первый раз.,Приложение не запускается после обновления,negative,2,medium,,Проверить стабильность обновления
Цена,Промокод,"Промокод указан как действующий, но система его не принимает.",Проблема с действующим промокодом,negative,2,low,,Проверить валидность промокода в системе
Доставка,Повреждение,Заказ приехал с поврежденной упаковкой. Поддержка тоже не помогла.,Поврежденная упаковка при доставке,negative,3,medium,,Проверить качество упаковки перед доставкой
Мобильное приложение,Ошибка приложения,Приложение зависает при оформлении заказа. Это уже не первый раз.,Зависание при оформлении заказа,negative,3,medium,,Оптимизировать процесс оформления заказа
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Если вопрос не решится, больше у вас покупать не буду.",Задержка курьера,negative,5,high,,Ускорить доставку курьера
Личный кабинет,Профиль,Не получается изменить номер телефона в профиле. Прошу срочно решить проблему.,Ошибка изменения номера телефона,negative,2,medium,,Проверить доступ к профилю
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Очень недоволен этой ситуацией.",Ошибка оплаты банковской картой,negative,3,medium,,Проверить систему оплаты на ошибки
Оплата,Двойное списание,"С карты дважды списали деньги за один заказ. Если вопрос не решится, больше у вас покупать не буду.",Двойное списание заказа,negative,5,high,,Проверить систему списаний
Бонусная программа,Не начислены бонусы,За покупку не начислили обещанные бонусы. Очень недоволен этой ситуацией.,Не начислены бонусы,negative,4,high,,Проверить систему начисления бонусов
Качество товара,Брак,Получил товар с явным браком. Очень недоволен этой ситуацией.,Брак товара,negative,4,high,,Исправить брак товара
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Прошу срочно решить проблему.",Проблема активации промокода,negative,4,medium,,Проверить валидность промокода в системе
Доставка,Повреждение,"Заказ приехал с поврежденной упаковкой. Если вопрос не решится, больше у вас покупать не буду.",Поврежденная упаковка при доставке,negative,5,high,Поврежденная упатовка при доставке,Проверить упаковку при получении
Доставка,Повреждение,Заказ приехал с поврежденной упаковкой. Это уже не первый раз.,Поврежденная упаковка при доставке,negative,3,medium,Поврежденная уп: не указано,Проверить качество упаковки перед доставкой
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Прошу срочно решить проблему.",Проблема входа в приложение,negative,4,high,,Перезапустить приложение
Поддержка,Долгое ожидание,Очень долго ждал ответа оператора. Прошу срочно решить проблему.,Долгое ожидание ответа,negative,2,medium,,Увеличить скорость обработки запросов
Доставка,Курьер,Курьер не приехал в назначенное время и не позвонил. Поддержка тоже не помогла.,Отсутствие уведомления о доставке,negative,2,low,,Улучшить систему уведомлений курьера
Личный кабинет,Авторизация,Не могу войти в личный кабинет. Прошу срочно решить проблему.,Проблема входа в личный кабинет,negative,4,high,,Проверить доступ к аккаунту
Документы,Чек,Не получил электронный чек после покупки. Очень недоволен этой ситуацией.,Отсутствие электронного чека после покупки,negative,2,low,,Убедиться в автоматическом отправке электронных чеков
Качество товара,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Если вопрос не решится, больше у вас покупать не буду.",Поврежденный товар неиспользуемый,negative,5,high,,Исправить поврежденный товар
Качество товара,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Поддержка тоже не помогла.,Поврежденный товар неиспользуемый,negative,4,high,,Проверить качество поставок
Личный кабинет,Профиль,"Не получается изменить номер телефона в профиле. Если вопрос не решится, больше у вас покупать не буду.",Не могу изменить номер телефона,negative,5,high,,Исправить проблему с изменением номера телефона
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Поддержка тоже не помогла.",Текст должен быть 3-7 слов,positive,2,low,,Проверить логику добавления в корзину
Мобильное приложение,Ошибка приложения,Приложение зависает при оформлении заказа. Очень недоволен этой ситуацией.,Зависание при оформлении заказа,negative,3,medium,,Оптимизировать процесс оформления заказа
Цена,Скидка,Обещанная скидка не применилась при оформлении заказа. Очень недоволен этой ситуацией.,Не применена обещанная скидка,negative,3,medium,Не применена обещанная ски: не указано,Проверить условия применения скидки
Мобильное приложение,Ошибка приложения,Приложение зависает при оформлении заказа. Прошу срочно решить проблему.,Зависание при оформлении заказа,negative,4,high,,Проверить стабильность приложения при оформлении заказа
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Прошу срочно решить проблему.",Проблема поиска адреса доставки,negative,4,medium,,Проверить корректность адреса в системе
Бонусная программа,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Это уже не первый раз.,Проблема использования бонусов при оплате,negative,2,medium,,Проверить интеграцию бонусной системы с платежной системой
Личный кабинет,Профиль,Не получается изменить номер телефона в профиле. Поддержка тоже не помогла.,Ошибка изменения номера телефона,negative,2,low,,Проверить доступ к профилю
Бонусная программа,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Прошу срочно решить проблему.,Проблема использования бонусов при оплате,negative,4,high,,Проверить интеграцию бонусной системы с платежной системой
Поддержка,Долгое ожидание,Очень долго ждал ответа оператора. Поддержка тоже не помогла.,Долгое ожидание ответа,negative,2,medium,недостаточное количество операторов,Увеличить количество операторов
Оплата,Двойное списание,С карты дважды списали деньги за один заказ. Это уже не первый раз.,Двойное списание заказа,negative,4,medium,,Проверить систему двойного списания
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Очень недоволен этой ситуацией.",Задержка возврата средств,negative,3,medium,неправильная обработка возврата,Ускорить обработку возвратов
Бонусная программа,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Очень недоволен этой ситуацией.,Ошибка использования бонусов при оплате,negative,3,medium,,Проверить интеграцию бонусной программы с платежной системой
Документы,Счет,Не могу получить счет на заказ. Прошу срочно решить проблему.,Отсутствие счета на заказ,negative,4,medium,,Создать счет для заказа
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Поддержка тоже не помогла.",Ошибка оплаты банковской картой,negative,3,medium,,Проверить интеграцию банковской карты
Документы,Чек,Не получил электронный чек после покупки. Прошу срочно решить проблему.,Отсутствие электронного чека после покупки,negative,3,medium,,Проверить систему генерации чеков
Личный кабинет,Авторизация,Не могу войти в личный кабинет. Очень недоволен этой ситуацией.,Ошибка входа в личный кабин: 3 слова,negative,4,high,,Проверить доступ к личному кабинету
Оплата,Двойное списание,С карты дважды списали деньги за один заказ. Очень недоволен этой ситуацией.,Двойное списание заказа,negative,5,high,,Проверить систему списаний
Оплата,Двойное списание,С карты дважды списали деньги за один заказ. Поддержка тоже не помогла.,Двойное списание заказа,negative,4,medium,,Проверить систему списаний
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Прошу срочно решить проблему.",Отсутствие ответа в поддержке,negative,4,high,Отсутствие ответа в поддержке,Увеличить частоту ответов в поддержке
Оплата,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Прошу срочно решить проблему.,Отсутствие возврата после отмены заказа,negative,4,high,Отсутствие возвратов после отмены заказа,Ускорить обработку возвратов после отмены заказа
Мобильное приложение,Ошибка приложения,"Приложение зависает при оформлении заказа. Если вопрос не решится, больше у вас покупать не буду.",Зависание при оформлении заказа,negative,5,high,,Ускорить исправление зависания при оформлении заказа
