id,date,theme,text,category,summary,sentiment,severity,churn_risk,root_cause,recommendation
677,2025-01-08,Двойное списание,С карты дважды списали деньги за один заказ. Это уже не первый раз.,Оплата,Двойное списание заказа,negative,4,medium,,Проверить систему двойного списания
652,2025-01-09,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить интеграцию банковской карты
568,2025-01-09,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения.,Возвраты,Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
196,2025-01-09,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Подскажите, пожалуйста, как решить эту проблему.",Доставка,Задержка доставки,negative,3,medium,,Уточнить причины задержки и уведомить клиента о планах по исправлению
167,2025-01-10,Авторизация,Не могу войти в личный кабинет.,Личный кабинет,Проблема входа в личный кабинет,negative,2,low,,Проверить доступ к личному кабинету
954,2025-01-10,Документы,В документах к заказу указаны неверные данные.,Документы,Неверные данные в документах заказа,negative,2,low,,Проверить данные в документах заказа
236,2025-01-11,Документы,В документах к заказу указаны неверные данные. Прошу срочно решить проблему.,Документы,Неверные данные в документах заказа,negative,3,medium,,Проверить данные заказа и исправить ошибки
170,2025-01-11,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка,Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
995,2025-01-11,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить интеграцию банковской карты
972,2025-01-12,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Поддержка тоже не помогла.,Доставка,Задержка доставки,negative,3,medium,,Ускорить обработку заказов
548,2025-01-12,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Прошу помочь разобраться.",Доставка,Проблема поиска адреса доставки,negative,2,low,,Проверить корректность адреса в системе
296,2025-01-12,Документы,"В документах к заказу указаны неверные данные. Подскажите, пожалуйста, как решить эту проблему.",Документы,Неверные данные в документах заказа,neutral,2,low,,Проверить данные заказа
776,2025-01-13,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Подскажите, пожалуйста, как решить эту проблему.",Качество товара,Поврежденный товар,negative,4,medium,Поврежденный товар при получении,Организовать замену поврежденного товара
111,2025-01-13,Ошибка приложения,Приложение зависает при оформлении заказа.,Мобильное приложение,Зависание при оформлении заказа,negative,2,medium,,Оптимизировать процесс оформления заказа
453,2025-01-14,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу помочь разобраться.",Возвраты,Задержка возврата средств,negative,2,medium,,Проверить статус возврата в системе
532,2025-01-15,Повреждение,Заказ приехал с поврежденной упаковкой.,Доставка,Поврежденная упаковка при доставке,negative,2,low,,Проверить качество упаковки перед доставкой
999,2025-01-16,Несоответствие,Товар совсем не соответствует описанию на сайте.,Качество товара,Несоответствие товара описанию,negative,3,medium,,Проверить описания товаров на соответствие реальному товару
169,2025-01-16,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Прошу срочно решить проблему.",Цена,Неправильная цена в корзине,negative,3,medium,,Проверить синхронизацию цен в корзине
4,2025-01-16,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Доставка,Задержка доставки,negative,3,medium,,Проверить логистику и уточнить сроки доставки
958,2025-01-16,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена,Скидка не применилась при оформлении заказа,negative,2,medium,неизвестно,Проверить условия применения скидки
23,2025-01-17,Списание бонусов,Не получается использовать накопленные бонусы при оплате.,Бонусная программа,Проблема использования бонусов при оплате,negative,2,medium,,Проверить интеграцию бонусной системы с платежной системой
54,2025-01-17,Не начислены бонусы,За покупку не начислили обещанные бонусы. Прошу помочь разобраться.,Бонусная программа,Не начислены бонусы,negative,2,medium,,Проверить систему начисления бонусов
719,2025-01-17,Курьер,Курьер не приехал в назначенное время и не позвонил.,Доставка,Отсутствие уведомления о доставке,negative,2,low,Отсутствие уведомления о доставке,Улучшить систему уведомлений курьера
817,2025-01-17,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Прошу срочно решить проблему.,Качество товара,Поврежденный товар,negative,5,high,,Исправить повреждение и отправить новый товар
603,2025-01-19,Счет,Не могу получить счет на заказ. Поддержка тоже не помогла.,Документы,Отсутствие счета на заказ,negative,2,low,,Проверить автоматическую генерацию счетов
270,2025-01-19,Повреждение,Заказ приехал с поврежденной упаковкой.,Доставка,Поврежденная упаковка при доставке,negative,2,low,,Проверить качество упаковки перед доставкой
605,2025-01-20,Повреждение,"Заказ приехал с поврежденной упаковкой. Надеюсь, вопрос получится быстро решить.",Доставка,Поврежденная упаковка при доставке,neutral,2,low,Поврежденная упusing,Проверить качество упаковки перед доставкой
562,2025-01-20,Курьер,Курьер не приехал в назначенное время и не позвонил. Поддержка тоже не помогла.,Доставка,Отсутствие уведомления о доставке,negative,2,low,,Улучшить систему уведомлений курьера
109,2025-01-20,Не начислены бонусы,За покупку не начислили обещанные бонусы.,Бонусная программа,Не начислены бонусы,negative,2,medium,,Проверить систему начисления бонусов
457,2025-01-20,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Это уже не первый раз.",Оплата,Ошибка оплаты банковской картой,negative,3,medium,,Проверить систему оплаты на ошибки
877,2025-01-21,Скидка,Обещанная скидка не применилась при оформлении заказа. Прошу помочь разобраться.,Цена,Не применена обещанная скидка,negative,2,medium,,Проверить условия применения скидки
674,2025-01-21,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Поддержка тоже не помогла.",Цена,Неправильная цена в корзине,negative,2,low,,Проверить синхронизацию цен в корзине
944,2025-01-22,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Цена,Неправильная цена в корзине,negative,2,low,,Проверить синхронизацию цен в корзине
392,2025-01-22,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Если вопрос не решится, больше у вас покупать не буду.",Качество товара,Поврежденный товар неиспользуемый,negative,5,high,,Исправить поврежденный товар
416,2025-01-22,Несоответствие,Товар совсем не соответствует описанию на сайте. Очень недоволен этой ситуацией.,Качество товара,Несоответствие товара описанию,negative,4,medium,Несоответствие товара описанию,Проверить описания товаров на соответствие реальному товару
814,2025-01-22,История заказов,В личном кабинете пропала история моих заказов. Прошу помочь разобраться.,Личный кабинет,Проблема отсутствия истории заказов,negative,2,low,,Проверить базу данных заказов
589,2025-01-22,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить интеграцию банковской карты
119,2025-01-23,Ошибка приложения,После обновления приложение перестало запускаться. Прошу помочь разобраться.,Мобильное приложение,Приложение не запускается после обновления,negative,2,low,,Проверить стабильность обновления
781,2025-01-23,Не начислены бонусы,За покупку не начислили обещанные бонусы.,Бонусная программа,Не начислены бонусы,negative,2,medium,,Проверить систему начисления бонусов
655,2025-01-23,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Прошу помочь разобраться.",Возвраты,Сложность оформления возврата,negative,2,low,неизвестно,Упростить процесс оформления возврата
900,2025-01-24,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Если вопрос не решится, больше у вас покупать не буду.",Качество товара,Поврежденный товар неиспользуемый,negative,5,high,,Исправить поврежденный товар
717,2025-01-24,Промокод,"Промокод указан как действующий, но система его не принимает. Если вопрос не решится, больше у вас покупать не буду.",Цена,Проблема активации промокода,negative,5,high,,Проверить корректность промокода в системе
65,2025-01-26,Ошибка приложения,После обновления приложение перестало запускаться.,Мобильное приложение,Приложение не запускается после обновления,negative,2,low,,Проверить стабильность обновления приложения
164,2025-01-26,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата,Отсутствие возврата после отмены заказа,negative,3,medium,,Ускорить обработку возвратов после отмены заказа
594,2025-01-26,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Очень недоволен этой ситуацией.",Мобильное приложение,Ошибка авторизации,negative,4,high,,Проверить работу аутентификации
364,2025-01-27,Документы,В документах к заказу указаны неверные данные.,Документы,Неверные данные в документах заказа,negative,2,low,,Проверить данные в документах заказа
60,2025-01-28,Ошибка приложения,После обновления приложение перестало запускаться.,Мобильное приложение,Приложение не запускается после обновления,negative,2,low,,Проверить стабильность обновления приложения
207,2025-01-28,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка,Переключения между отделами,negative,3,medium,,Улучшить координацию между отделами
634,2025-01-29,Несоответствие,"Товар совсем не соответствует описанию на сайте. Подскажите, пожалуйста, как решить эту проблему.",Качество товара,Несоответствие товара описанию,negative,3,medium,,Проверить соответствие товара описанию
968,2025-01-29,Двойное списание,С карты дважды списали деньги за один заказ.,Оплата,Двойное списание заказа,negative,5,high,,Проверить систему списаний
412,2025-01-30,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили.",Возвраты,Задержка возврата средств,negative,2,medium,,Ускорить обработку возвратов
71,2025-01-30,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка,Переключения между отделами,negative,3,medium,,Улучшить координацию между отделами
44,2025-01-30,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить интеграцию банковской карты
74,2025-01-30,Чек,Не получил электронный чек после покупки. Прошу срочно решить проблему.,Документы,Отсутствие электронного чека после покупки,negative,3,medium,,Проверить систему генерации чеков
695,2025-01-31,Брак,Получил товар с явным браком. Прошу срочно решить проблему.,Качество товара,Брак товара,negative,5,high,,Исправить брак и вернуть деньги
951,2025-02-01,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Доставка,Проблема поиска адреса доставки,negative,2,low,,Проверить точность данных в системе доставки
153,2025-02-01,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Подскажите, пожалуйста, как решить эту проблему.",Оплата,Ошибка оплаты банковской картой,neutral,2,low,,Проверить данные карты на сервере
331,2025-02-01,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат.",Возвраты,Сложность оформления возврата,negative,2,low,не понимает как оформить возврат,Упростить процесс оформления возврата
578,2025-02-01,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Прошу помочь разобраться.",Мобильное приложение,Ошибка входа в приложение,negative,2,low,,Проверить аутентификацию на сервере
464,2025-02-02,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Надеюсь, вопрос получится быстро решить.",Доставка,Проблема поиска адреса доставки,neutral,2,low,,Проверить актуальность адреса в системе доставки
51,2025-02-02,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Прошу помочь разобраться.,Возвраты,Отказ в возврате без объяснения,negative,2,medium,,Уточнить причины отказа в возврате
344,2025-02-02,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Прошу помочь разобраться.,Качество товара,Поврежденный товар,negative,4,medium,,Проверить логистику и упаковку
319,2025-02-02,Долгое ожидание,"Очень долго ждал ответа оператора. Если вопрос не решится, больше у вас покупать не буду.",Поддержка,Долгое ожидание ответа,negative,5,high,непонимание времени ожидания,Ускорить обработку запросов
24,2025-02-03,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата,Отсутствие возврата после отмены заказа,negative,3,medium,,Ускорить обработку возвратов после отмены заказа
942,2025-02-03,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Поддержка тоже не помогла.",Доставка,Проблема поиска адреса доставки,negative,2,low,,Проверить точность данных в системе доставки
473,2025-02-04,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Очень недоволен этой ситуацией.,Возвраты,Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
260,2025-02-05,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить систему оплаты на ошибки
640,2025-02-05,Счет,Не могу получить счет на заказ.,Документы,Отсутствие счета на заказ,negative,2,low,,Ускорить генерацию счетов
85,2025-02-05,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена,Скидка не применилась при оформлении заказа,negative,2,medium,неизвестно,Проверить условия применения скидки
82,2025-02-07,Повреждение,"Заказ приехал с поврежденной упаковкой. Надеюсь, вопрос получится быстро решить.",Доставка,Поврежденная упаковка при доставке,neutral,2,low,Поврежденная упusing,Проверить качество упаковки перед доставкой
411,2025-02-07,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить систему оплаты на ошибки
509,2025-02-07,Несоответствие,"Товар совсем не соответствует описанию на сайте. Хотелось бы понять, что делать дальше.",Качество товара,Несоответствие товара описанию,negative,2,medium,,Проверить соответствие товара описанию на сайте
732,2025-02-07,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Подскажите, пожалуйста, как решить эту проблему.",Доставка,Задержка доставки,negative,3,medium,,Уточнить причины задержки и уведомить клиента о планах по исправлению
64,2025-02-08,Несоответствие,Товар совсем не соответствует описанию на сайте.,Качество товара,Несоответствие товара описанию,negative,3,medium,,Проверить описания товаров на соответствие реальному товару
221,2025-02-08,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Хотелось бы понять, что делать дальше.",Доставка,Проблема поиска адреса доставки,neutral,2,low,,Проверить точность адреса в системе
98,2025-02-08,Промокод,"Промокод указан как действующий, но система его не принимает. Если вопрос не решится, больше у вас покупать не буду.",Цена,Проблема активации промокода,negative,5,high,,Проверить корректность промокода в системе
997,2025-02-08,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка,Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
726,2025-02-08,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Надеюсь, вопрос получится быстро решить.",Возвраты,Отказ в возврате без объяснения,neutral,2,low,,Уточнить причины отказа возврата
274,2025-02-08,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно.,Качество товара,Поврежденный товар,negative,5,high,,Исправить доставку и проверку товара
435,2025-02-09,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Прошу помочь разобраться.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить подключение карты в системе оплаты
904,2025-02-09,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Прошу помочь разобраться.",Поддержка,Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизированную проверку ответов
393,2025-02-09,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Подскажите, пожалуйста, как решить эту проблему.",Бонусная программа,Бонусные баллы исчезли,negative,3,medium,,Проверить личный кабинет на наличие баллов
399,2025-02-10,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Это уже не первый раз.",Возвраты,Задержка возврата средств,negative,3,medium,неправильная обработка возврата,Ускорить обработку возвратов
491,2025-02-10,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата,Отсутствие возврата после отмены заказа,negative,3,medium,,Ускорить обработку возвратов после отмены заказа
671,2025-02-10,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена,Скидка не применилась при оформлении заказа,negative,2,medium,неизвестно,Проверить условия применения скидки
350,2025-02-11,Двойное списание,С карты дважды списали деньги за один заказ.,Оплата,Двойное списание заказа,negative,5,high,,Проверить систему списаний
427,2025-02-11,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Если вопрос не решится, больше у вас покупать не буду.",Поддержка,Отсутствие ответа в поддержке,negative,5,high,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
220,2025-02-11,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Доставка,Задержка доставки,negative,3,medium,,Проверить логистику и уточнить сроки доставки
233,2025-02-11,Долгое ожидание,Очень долго ждал ответа оператора. Это уже не первый раз.,Поддержка,Долгое ожидание ответа,negative,2,medium,,Увеличить количество операторов
450,2025-02-12,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Личный кабинет,Проблема отсутствия истории заказов,negative,2,low,,Проверить базу данных заказов
379,2025-02-13,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Цена,Неправильная цена в корзине,negative,2,low,,Проверить синхронизацию цен в корзине
921,2025-02-13,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка,Переключения между отделами,negative,3,medium,,Улучшить координацию между отделами
193,2025-02-13,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Хотелось бы понять, что делать дальше.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить данные карты и транзакцию
777,2025-02-13,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока.,Доставка,Задержка доставки,negative,3,medium,,Ускорить обработку заказов
187,2025-02-14,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить систему оплаты на ошибки
510,2025-02-14,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Очень недоволен этой ситуацией.,Бонусная программа,Ошибка использования бонусов при оплате,negative,3,medium,,Проверить интеграцию бонусной программы с платежной системой
908,2025-02-14,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка,Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
818,2025-02-14,Брак,Получил товар с явным браком. Поддержка тоже не помогла.,Качество товара,Брак товара,negative,4,high,,Проверить качество поставок
855,2025-02-15,Авторизация,Не могу войти в личный кабинет.,Личный кабинет,Проблема входа в личный кабинет,negative,2,low,,Проверить доступ к личному кабинету
986,2025-02-15,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Очень недоволен этой ситуацией.,Бонусная программа,Бонусные баллы исчезли,negative,3,medium,,Проверить систему учета баллов
280,2025-02-16,Брак,Получил товар с явным браком. Поддержка тоже не помогла.,Качество товара,Брак товара,negative,4,high,,Проверить качество поставок
313,2025-02-16,Авторизация,Не могу войти в личный кабинет.,Личный кабинет,Проблема входа в личный кабинет,negative,2,low,,Проверить доступ к личному кабинету
633,2025-02-16,Скидка,Обещанная скидка не применилась при оформлении заказа. Поддержка тоже не помогла.,Цена,Не применена обещанная скидка,negative,2,medium,,Проверить условия применения скидки
834,2025-02-17,История заказов,В личном кабинете пропала история моих заказов. Очень недоволен этой ситуацией.,Личный кабинет,Проблема отсутствия истории заказов,negative,3,medium,,Проверить базу данных заказов
10,2025-02-17,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу срочно решить проблему.",Возвраты,Задержка возврата средств,negative,4,high,Неизвестно,Ускорить обработку возвратов
254,2025-02-17,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Хотелось бы понять, что делать дальше.",Оплата,Ошибка оплаты банковской картой,negative,2,low,,Проверить подключение карты в системе
529,2025-02-17,Брак,"Получил товар с явным браком. Надеюсь, вопрос получится быстро решить.",Качество товара,Брак товара,neutral,2,low,,Проверить качество поставок
850,2025-02-18,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Доставка,Проблема поиска адреса доставки,negative,2,low,,Проверить точность данных в системе доставки
357,2025-02-18,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Очень недоволен этой ситуацией.,Оплата,Ожидание возврата после отмены заказа,negative,4,high,,Ускорить обработку возвратов после отмены заказа
559,2025-02-19,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу помочь разобраться.",Возвраты,Задержка возврата средств,negative,2,medium,,Проверить статус возврата в системе
302,2025-02-19,Промокод,"Промокод указан как действующий, но система его не принимает.",Цена,Проблема с действующим промокодом,negative,2,low,,Проверить валидность промокода в системе
683,2025-02-20,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Хотелось бы понять, что делать дальше.",Бонусная программа,Бонусные баллы исчезли,negative,3,medium,,Проверить личный кабинет на наличие баллов
83,2025-02-21,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Доставка,Задержка доставки,negative,3,medium,,Проверить логистику и уточнить сроки доставки
975,2025-02-21,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили.",Возвраты,Задержка возврата средств,negative,2,medium,,Ускорить обработку возвратов
